Board/Commission,Name,Last Action Date,Last Action,Replacing,County,Address,LD of Residence
Administrative Law Judge,Sudha V. Raja,12/18/2025,Interviewed,for term,Monmouth,Colts Neck,N/A
Delaware and Raritan Canal Commission,Robert  Bostock,12/18/2025,Considered,Julia Cobb Allen,Mercer,Lawrenceville,N/A
Superior Court,Kerry C. Soranno,12/18/2025,Interviewed,Francis J. Vernoia,Monmouth,Morganville,N/A
Delaware and Raritan Canal Commission,Randy  Jones,12/18/2025,Considered,John Loos,"Middlesex, Somerset",Franklin Park,N/A
Division of Workers' Compensation,Glenn  Kaplan,12/18/2025,Interviewed,Reappointment,N/A,Randolph,N/A
Superior Court,Daniel J. Kelly,12/18/2025,Interviewed,Gerald J. Council,Mercer,Titusville,N/A
New Jersey Historic Trust,Deborah Marquis Kelly,12/18/2025,Considered,Reappointment,Burlington,Crosswicks,N/A
Motion Picture and Television Development Commission,David  Smith,12/18/2025,Considered,Reappointment,Mercer,Pennington,N/A
State Parole Board,Ronald  Slaughter,12/18/2025,Interviewed,Reappointment,Essex,West Orange,N/A
Highlands Water Protection and Planning Council,Tammy  Koop,12/18/2025,Interviewed,James Mengucci,Warren,Belvidere,N/A
College of New Jersey -  Board of Trustees,Lauren  Lalicon,12/18/2025,Considered,Maria Falca-Dodson,Mercer,Hightstown,N/A
Superior Court,Christopher B. Leitner,12/18/2025,Interviewed,Theresa A. Cunningham,"Camden, Ocean",Point Pleasant,N/A
College of New Jersey -  Board of Trustees,Allen  Silk,12/18/2025,Considered,Reappointment,Monmouth,Sea Girt,N/A
State Board of Education,James  Williams,12/18/2025,Interviewed,Elaine Bobrove,Camden,Camden,N/A
Montclair State University - Board of Trustees,Eric  Brophy,12/18/2025,Considered,John McGoldrick,Monmouth,Wall,N/A
Highlands Water Protection and Planning Council,Melonie  Marano,12/18/2025,Interviewed,Robert Walton,N/A,Green Brook,N/A
New Jersey Institute of Technology University Board of Trustees,Richard  Maser,12/18/2025,Considered,Reappointment,Monmouth,Long Branch,N/A
New Jersey Advisory Commission on the Status of Women,Jackie  Cornell,12/18/2025,Considered,Deborah Veach,Mercer,Pennington,N/A
Administrative Law Judge,Gerard A. Hughes,12/18/2025,Interviewed,for term,Monmouth,Spring Lake Heights,N/A
Division of Workers' Compensation,Fred  Hopke,12/18/2025,Interviewed,Reappointment,Middlesex,Metuchen,N/A
Superior Court,John H. Flammer III,12/18/2025,Interviewed,Bernard E. DeLury,Atlantic,Port Republic,N/A
Superior Court,Christina Y. Emery,12/18/2025,Interviewed,Paula T. Dow,Burlington,Hainesport,N/A
Superior Court,Valentina M. DiPippo,12/18/2025,Interviewed,Mitchel E. Ostrer,Mercer,Ewing,N/A
Superior Court,R. Tali  Epstein,12/18/2025,Interviewed,Michael F. O'Neill,"Middlesex, Sussex",Edison,N/A
Middlesex County Prosecutor,Linda  Estremera,12/18/2025,Interviewed,Yolanda Ciccone,Middlesex,Perth Amboy,N/A
Superior Court,Amy  Devenny,12/18/2025,Interviewed,Wayne J. Forrest,Mercer,Robbinsville,N/A
Superior Court,Melvina D. Fennell,12/18/2025,Interviewed,Rahat N. Babar,Mercer,Ewing,N/A
Board of Directors of University Hospital,Tracie  DeSarno,12/18/2025,Interviewed,David Molowa,"Hunterdon, Middlesex, Union",Union,N/A
New Jersey Educational Facilities Authority,Joshua  Hodes,12/18/2025,Considered,Reappointment,Monmouth,Sea Girt,N/A
New Jersey Institute of Technology University Board of Trustees,Dennis  Toft,12/18/2025,Considered,Reappointment,Union,Berkeley Heights,N/A
Superior Court,Daniel  Gee,12/18/2025,Interviewed,Thomas J. Shusted Jr.,Camden,Haddon Township,N/A
Superior court,Tracy M. Thompson,12/18/2025,Interviewed,Robert W. Bingham,Mercer,Ewing,N/A
Gateway Development Commission,Balpreet  Grewal-Virk,12/18/2025,Interviewed,Reappointment,Bergen,Upper Saddle River,N/A
State Lottery Commission,Robert James D'Anton,12/18/2025,Considered,Reappointment,Ocean,Lavallette,N/A
Administrative Law Judge,Diane  Hoagland,12/18/2025,Interviewed,for term,"Burlington, Hunterdon, Middlesex, Morris, Salem, Somerset, Union",Milltown,N/A
Division of Workers' Compensation,Dana Wilt Mayo,12/18/2025,Interviewed,Reappointment,N/A,North Brunswick,N/A
Board of Directors of University Hospital,Mark  Lattouf,12/18/2025,Interviewed,Reappointment,N/A,"Lake Worth, FL",N/A
Division of Workers' Compensation,William  Roca,12/18/2025,Interviewed,Reappointment,Passaic,Little Falls,N/A
Division of Workers' Compensation,Vidya  Prasad,12/18/2025,Interviewed,Reappointment,N/A,Plainsboro,N/A
William Paterson University of New Jersey - Board of Trustees,Brad  Neilley Sr.,12/18/2025,Considered,Reappointment,Mercer,Princeton,N/A
Superior Court,Melissa L. Medoway,12/18/2025,Interviewed,Deborah Silverman-Katz,Camden,Haddonfield,N/A
New Jersey Public Employment Relations Commission,Pasquale  Papero Jr.,12/18/2025,Considered,Reappointment,"Monmouth, Somerset",Hamilton,N/A
Highlands Water Protection and Planning Council,Matthew  Oswald,12/18/2025,Interviewed,James Rilee,Morris,Riverdale,N/A
New Jersey Transit Corporation,Michael  Beson,12/18/2025,Interviewed,Carlos Medina,N/A,Ocean,N/A
Superior Court,Angelo J. Onofri,12/18/2025,Interviewed,Anthony M. Massi,"Monmouth, Somerset",Hamilton,N/A
William Paterson University of New Jersey - Board of Trustees,William  Pesce,12/18/2025,Considered,Reappointment,"Monmouth, Sussex",Spring Lake,N/A
Administrative Law Judge,Samantha L. Price,12/18/2025,Interviewed,for term,Camden,Haddonfield,N/A
Pascack Joint Municipal Court,Giuseppe C. Randazzo,12/18/2025,Interviewed,for term,Bergen,Ramsey,N/A
Camden County Board of Taxation,Kate  McDonnell,12/18/2025,Considered,William Wilhelm,Camden,Haddon Township,N/A
Administrative Law Judge,Jessica S. O'Connor,12/18/2025,Interviewed,for term,"Burlington, Hunterdon",Palmyra,N/A
New Jersey Sports and Exposition Authority,Louis  Stellato Jr.,12/15/2025,Interviewed,Reappointment,Bergen,Lyndhurst,N/A
College of New Jersey -  Board of Trustees,Carl  Gibbs Jr.,12/15/2025,Considered,Reappointment,N/A,Southampton,N/A
Monmouth County Board of Taxation,Michael  Hirsch,12/15/2025,Considered,Reappointment,Monmouth,Manasquan,N/A
Horizon Blue Cross Blue Shield Inc. Board of Directors,Hetty  Rosenstein,12/15/2025,Withdrawn,Joseph J. Roberts,Essex,South Orange,N/A
Morris County Board of Taxation,Christina  Ramirez,12/15/2025,Considered,Reappointment,"Middlesex, Morris",Morristown,N/A
William Paterson University of New Jersey - Board of Trustees,Frederick  Gruel,12/15/2025,Considered,Reappointment,Monmouth,Ocean Grove,N/A
New Jersey Sports and Exposition Authority,Sam  Parker,12/15/2025,Interviewed,John Duthie,"Monmouth, Ocean",Wanamassa,N/A
Stockton University Board of Trustees,Sonia  Gonsalves,12/15/2025,Considered,Reappointment,N/A,"Oxford, GA",N/A
Domestic Companion Animal Council,Terry  Peifer,12/15/2025,Considered,Janet Lyons-Fairbanks,N/A,Manchester,N/A
Salem County Board of Taxation,Kathy  McAllister,12/15/2025,Considered,Brenda Hall,Salem,Pennsville,N/A
Gloucester County Board of Taxation,Elizabeth  Rogale,12/15/2025,Considered,Reappointment,Gloucester,Sewell,N/A
New Jersey Sports and Exposition Authority,Eric  Pennington,12/15/2025,Interviewed,Reappointment,Essex,Newark,N/A
William Paterson University of New Jersey - Board of Trustees,John  Galandak,12/15/2025,Considered,Reappointment,Sussex,Sandyston,N/A
New Jersey Historic Trust,Janet  Foster,12/15/2025,Considered,Reappointment,Morris,Madison,N/A
Union County Board of Taxation,Mary  O'Connor,12/15/2025,Considered,Peter Lijoi,Union,Cranford,N/A
Board of the Higher Education Student Assistance Authority,Nelson  Turcios,12/15/2025,Considered,Reappointment,N/A,Bridgewater,N/A
